X	COIL_ATTRACTION	COIL_REPULSION
0.000000	4,6	2,5
0.500000	4,6	1,2,5
1.000000	4,6	1,2,5
1.500000	4,6	1,2,5
2.000000	4,6	1,2,5
2.500000	3,4,6	1,2,5
3.000000	3,4,6	1,2,5
3.500000	3,4,6	1,2,5
4.000000	3,4,6	1,2,5
4.500000	3,4,6	1,2,5
5.000000	3,4,6	1,2
5.500000	3,4,6	1,2
6.000000	3,6	1,2
6.500000	3,6	1,2,4
7.000000	3,6	1,2,4
7.500000	3,6	1,2,4
8.000000	3,6	1,2,4
8.500000	3,6	1,2,4
9.000000	3,6	1,2,4
9.500000	3,6	1,2,4
10.000000	3,6	1,2,4
10.500000	3,6	1,2,4
11.000000	2,3,6	1,4
11.500000	2,3,6	1,4
12.000000	2,3,6	1,4
12.500000	2,3,5,6	1,4
13.000000	2,3,5,6	1,4
13.500000	2,3,5,6	1,4
14.000000	2,3,5,6	1,4
14.500000	2,3,5,6	1,4
15.000000	2,3,5,6	4
15.500000	2,3,5,6	4
16.000000	2,3,5	4
16.500000	2,3,5	4,6
17.000000	2,3,5	4,6
17.500000	2,3,5	4,6
18.000000	2,3,5	4,6
18.500000	2,3,5	4,6
19.000000	2,3,5	4,6
19.500000	2,3,5	4,6
20.000000	2,3,5	4,6
20.500000	2,3,5	4,6
21.000000	2,3,5	6
21.500000	2,3,5	6
22.000000	2,5	6
22.500000	2,5,7	3,6
23.000000	2,5,7	3,6
23.500000	2,5,7	3,6
24.000000	2,5,7	3,6
24.500000	2,5,7	3,6
25.000000	2,5,7	3,6
25.500000	2,5,7	3,6
26.000000	5,7	3,6
26.500000	5,7	2,3,6
27.000000	5,7	2,3,6
27.500000	5,7	2,3,6
28.000000	5,7	2,3,6
28.500000	4,5,7	2,3,6
29.000000	4,5,7	2,3,6
29.500000	4,5,7	2,3,6
30.000000	4,5,7	2,3,6
30.500000	4,5,7	2,3,6
31.000000	4,5,7	2,3
31.500000	4,5,7	2,3
32.000000	4,7	2,3
32.500000	4,7	2,3,5
33.000000	4,7	2,3,5
33.500000	4,7	2,3,5
34.000000	4,7	2,3,5
34.500000	4,7	2,3,5
35.000000	4,7	2,3,5
35.500000	4,7	2,3,5
36.000000	4,7	2,3,5
36.500000	4,7	2,3,5
37.000000	3,4,7	2,5
37.500000	3,4,7	2,5
38.000000	3,4,7	2,5
38.500000	3,4,6,7	2,5
39.000000	3,4,6,7	2,5
39.500000	3,4,6,7	2,5
40.000000	3,4,6,7	2,5
40.500000	3,4,6,7	2,5
41.000000	3,4,6,7	5
41.500000	3,4,6,7	5
42.000000	3,4,6	5
42.500000	3,4,6	5,7
43.000000	3,4,6	5,7
43.500000	3,4,6	5,7
44.000000	3,4,6	5,7
44.500000	3,4,6	5,7
45.000000	3,4,6	5,7
45.500000	3,4,6	5,7
46.000000	3,4,6	5,7
46.500000	3,4,6	5,7
47.000000	3,4,6	7
47.500000	3,4,6	7
48.000000	3,6	7
48.500000	3,6	4,7
49.000000	3,6	4,7
49.500000	3,6	4,7
50.000000	3,6	4,7
50.500000	3,6	4,7
51.000000	3,6	4,7
51.500000	3,6	4,7
52.000000	6	4,7
52.500000	6	3,4,7
53.000000	6	3,4,7
53.500000	6	3,4,7
54.000000	6	3,4,7
54.500000	5,6	3,4,7
55.000000	5,6	3,4,7
55.500000	5,6	3,4,7
56.000000	5,6	3,4,7
56.500000	5,6	3,4,7
57.000000	5,6	3,4
57.500000	5,6	3,4
58.000000	5	3,4
58.500000	5	3,4,6
59.000000	5	3,4,6
59.500000	5	3,4,6
60.000000	5	3,4,6
60.500000	5	3,4,6
61.000000	5	3,4,6
61.500000	5	3,4,6
62.000000	5	3,4,6
62.500000	5	3,4,6
63.000000	4,5	3,6
63.500000	4,5	3,6
64.000000	4,5	3,6
64.500000	4,5,7	3,6
65.000000	4,5,7	3,6
65.500000	4,5,7	3,6
66.000000	4,5,7	3,6
66.500000	4,5,7	3,6
67.000000	4,5,7	6
67.500000	4,5,7	6
68.000000	4,5,7	6
68.500000	4,5,7	6
69.000000	4,5,7	6
69.500000	4,5,7	6
70.000000	4,5,7	6
70.500000	4,5,7	6
71.000000	4,5,7	6
71.500000	4,5,7	6
72.000000	4,5,7	6
72.500000	4,5,7	6
73.000000	4,5,7	
73.500000	4,5,7	
74.000000	4,7	
74.500000	4,7	5
75.000000	4,7	5
75.500000	4,7	5
76.000000	4,7	5
76.500000	4,7	5
77.000000	4,7	5
77.500000	4,7	5
78.000000	7	5
78.500000	7	4,5
79.000000	7	4,5
79.500000	7	4,5
80.000000	7	4,5
80.500000	6,7	4,5
81.000000	6,7	4,5
81.500000	6,7	4,5
82.000000	6,7	4,5
82.500000	6,7	4,5
83.000000	6,7	4,5
83.500000	6,7	4,5
84.000000	6	4,5
84.500000	6	4,5,7
85.000000	6	4,5,7
85.500000	6	4,5,7
86.000000	6	4,5,7
86.500000	6	4,5,7
87.000000	6	4,5,7
87.500000	6	4,5,7
88.000000	6	4,5,7
88.500000	6	4,5,7
89.000000	5,6	4,7
89.500000	5,6	4,7
90.000000	5,6	4,7
90.500000	5,6	4,7
91.000000	5,6	4,7
91.500000	5,6	4,7
92.000000	5,6	4,7
92.500000	5,6	4,7
93.000000	5,6	7
93.500000	5,6	7
94.000000	5,6	7
94.500000	5,6	7
95.000000	5,6	7
95.500000	5,6	7
96.000000	5,6	7
96.500000	5,6	7
97.000000	5,6	7
97.500000	5,6	7
98.000000	5,6	7
98.500000	5,6	7
99.000000	5,6	
99.500000	5,6	
100.000000	5	
100.500000	5	6
101.000000	5	6
101.500000	5	6
102.000000	5	6
102.500000	5	6
103.000000	5	6
103.500000	5	6
104.000000		6
104.500000		5,6
105.000000		5,6
105.500000		5,6
106.000000		5,6
106.500000	7	5,6
107.000000	7	5,6
107.500000	7	5,6
108.000000	7	5,6
108.500000	7	5,6
109.000000	7	5,6
109.500000	7	5,6
110.000000	7	5,6
110.500000	7	5,6
111.000000	7	5,6
111.500000	7	5,6
112.000000	7	5,6
112.500000	7	5,6
113.000000	7	5,6
113.500000	7	5,6
114.000000	7	5,6
114.500000	7	5,6
115.000000	6,7	5
115.500000	6,7	5
116.000000	6,7	5
116.500000	6,7	5
117.000000	6,7	5
117.500000	6,7	5
118.000000	6,7	5
118.500000	6,7	5
119.000000	6,7	
119.500000	6,7	
120.000000	6,7	
120.500000	6,7	
121.000000	6,7	
121.500000	6,7	
122.000000	6,7	
122.500000	6,7	
123.000000	6,7	
123.500000	6,7	
124.000000	6,7	
124.500000	6,7	
125.000000	6,7	
